GENERO,PG_ICFES
MASCULINO,321.0
FEMENINO,335.0
MASCULINO,321.0
FEMENINO,315.0
MASCULINO,438.0
FEMENINO,321.0
FEMENINO,326.0
FEMENINO,328.0
FEMENINO,323.0
MASCULINO,322.0
MASCULINO,328.0
MASCULINO,329.0
MASCULINO,323.0
MASCULINO,316.0
MASCULINO,421.0
MASCULINO,416.0
FEMENINO,435.0
MASCULINO,443.29
MASCULINO,428.0
MASCULINO,411.0
FEMENINO,415.0
MASCULINO,410.0
MASCULINO,412.0
FEMENINO,422.0
MASCULINO,414.0
MASCULINO,406.0
MASCULINO,421.0
MASCULINO,412.0
MASCULINO,420.0
MASCULINO,420.0
MASCULINO,414.0
FEMENINO,414.0
MASCULINO,411.0
FEMENINO,403.0
MASCULINO,406.0
MASCULINO,394.0
MASCULINO,389.0
FEMENINO,408.0
FEMENINO,292.0
FEMENINO,293.0
MASCULINO,376.0
MASCULINO,397.42
MASCULINO,351.0
FEMENINO,338.0
MASCULINO,297.0
MASCULINO,324.0
MASCULINO,355.0
MASCULINO,314.0
FEMENINO,397.0
FEMENINO,310.0
FEMENINO,316.0
MASCULINO,397.0
MASCULINO,323.0
MASCULINO,314.0
MASCULINO,313.0
MASCULINO,313.0
MASCULINO,312.0
FEMENINO,318.0
MASCULINO,316.0
MASCULINO,319.0
MASCULINO,320.0
MASCULINO,315.0
MASCULINO,322.0
MASCULINO,398.0
MASCULINO,392.0
MASCULINO,305.0
MASCULINO,312.0
FEMENINO,314.0
FEMENINO,310.0
FEMENINO,302.0
MASCULINO,318.0
FEMENINO,389.0
FEMENINO,347.0
FEMENINO,340.0
MASCULINO,342.0
MASCULINO,416.0
FEMENINO,338.0
FEMENINO,376.0
FEMENINO,357.0
FEMENINO,350.0
MASCULINO,373.0
MASCULINO,329.0
MASCULINO,359.0
MASCULINO,338.0
FEMENINO,341.0
FEMENINO,339.0
MASCULINO,340.0
FEMENINO,352.0
MASCULINO,336.0
MASCULINO,370.0
FEMENINO,365.0
MASCULINO,358.0
FEMENINO,423.0
FEMENINO,355.0
FEMENINO,353.0
FEMENINO,365.0
MASCULINO,365.0
MASCULINO,335.0
FEMENINO,329.0
MASCULINO,352.0
FEMENINO,372.0
MASCULINO,340.0
MASCULINO,335.0
FEMENINO,329.0
FEMENINO,361.0
FEMENINO,415.0
