CAR_UNO,NCC_UNO,NCA_UNO,NCP_UNO,NAC_UNO,NAA_UNO,NAP_UNO,EPA_UNO,PROMEDIO_DOS,NOTA_DIF,VECES_DIF,CREDITOS_DIF,NOTA_FIS_UNO,VECES_FIS_UNO,CREDITOS_FIS_UNO,NOTA_CFJC,VECES_CFJC,CREDITOS_CFJC,NOTA_TEXTOS,VECES_TEXTOS,CREDITOS_TEXTOS,NOTA_SEM,VECES_SEM,CREDITOS_SEM,NOTA_PROGB,VECES_PROGB,CREDITOS_PROGB
4,14,4,10,6,2,4,2,0,21.5,2,4,23,2,3,44,1,1,36,1,2,30,2,1,25.5,2,3
0,14,14,0,6,6,0,1,3.61471E+14,37,1,4,39,1,3,42,1,1,40,1,2,40,1,1,43,1,3
1,14,11,3,6,5,1,1,1.51176E+14,36,1,4,30,1,3,44,1,1,43,1,2,37,1,1,24.66666667,3,3
0,14,14,0,6,6,0,1,3.38824E+14,31,1,4,39,1,3,44,1,1,38,1,2,47,1,1,41,1,3
0,14,14,0,6,6,0,1,3.65882E+14,31,1,4,37,1,3,45,1,1,44,1,2,35,1,1,40,1,3
0,14,14,0,6,6,0,1,3.57353E+14,32,1,4,40,1,3,42,1,1,45,1,2,38,1,1,37,1,3
3,14,7,7,6,3,3,2,2.88529E+14,26.33333333,3,4,36,2,3,41,1,1,42,1,2,36,1,1,27,3,3
0,14,0,14,4,4,0,2,0,9,1,4,6,1,3,0,1,1,11,1,2,0,1,1,11,1,3
0,14,13,1,6,6,0,1,0,30,1,4,30,1,3,48,1,1,44,1,2,26,1,1,32,1,3
1,14,10,4,6,5,1,1,1.71765E+14,27.5,2,4,37,1,3,47,1,1,42,1,2,31,1,1,30,1,3
0,14,13,1,6,6,0,1,0,36,1,4,33,1,3,24,1,1,43,1,2,46,1,1,38,1,3
0,14,14,0,6,6,0,1,3.12647E+14,33,1,4,33,1,3,43,1,1,40,1,2,39,1,1,48,1,3
0,14,14,0,6,6,0,1,3.28529E+14,35,1,4,35,1,3,41,1,1,38,1,2,36,1,1,33,1,3
0,14,14,0,6,6,0,1,3.53529E+14,35,1,4,42,1,3,46,1,1,46,1,2,38,1,1,36,1,3
0,14,14,0,6,6,0,1,0,33,1,4,35,1,3,45,1,1,45,1,2,40,1,1,32,1,3
0,14,14,0,6,6,0,1,3.27059E+14,32,1,4,37,1,3,45,1,1,45,1,2,47,1,1,38,1,3
0,14,14,0,6,6,0,1,0,30,1,4,38,1,3,46,1,1,50,1,2,39,1,1,35,1,3
0,14,14,0,6,6,0,1,3.02647E+14,37,1,4,35,1,3,46,1,1,46,1,2,44,1,1,39,1,3
1,14,10,4,6,5,1,1,3.19412E+14,27,3,4,35,1,3,47,1,1,39,1,2,32,1,1,42,1,3
1,14,14,0,6,5,1,1,3.70588E+14,30.5,2,4,33,1,3,42,1,1,40,1,2,38,1,1,37,1,3
