CAR_CUATRO,NCC_CUATRO,NCA_CUATRO,NCP_CUATRO,NAC_CUATRO,NAA_CUATRO,NAP_CUATRO,EPA_CUATRO,PROMEDIO_CINCO,NOTA_L_UNO,VECES_L_UNO,CREDITOS_L_UNO,NOTA_PYE_UNO,VECES_PYE_UNO,CREDITOS_PYE_UNO,NOTA_VARCOM,VECES_VARCOM,CREDITOS_VARCOM,NOTA_EL_DOS,VECES_EL_DOS,CREDITOS_EL_DOS,NOTA_PROGAPL,VECES_PROGAPL,CREDITOS_PROGAPL,NOTA_CAMPOS,VECES_CAMPOS,CREDITOS_CAMPOS,NOTA_FCD,VECES_FCD,CREDITOS_FCD
0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,3
2,17,11,6,5,3,2,2,3.08333E+14,0,0,2,0,0,2,9.666666667,3,2,38,1,3,32.5,2,3,31,1,2,30,1,3
0,17,8,9,3,3,0,2,9.16667E+14,0,0,2,0,0,2,0,0,2,0,0,3,30,1,3,35,1,2,30,1,3
1,17,3,14,2,1,1,2,0,0,0,2,0,0,2,0,0,2,0,0,3,30,1,3,0,0,2,19.5,4,3
3,17,6,11,5,2,3,2,3.29583E+14,0,0,2,0,0,2,20,3,2,26,2,3,35,1,3,25,2,2,35,1,3
0,17,6,11,2,2,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,35,1,3,0,0,2,30,1,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,3
1,17,0,17,1,0,1,2,0,0,0,2,0,0,2,0,0,2,0,0,3,22.5,2,3,0,0,2,0,0,3
1,17,0,17,1,0,1,2,0,0,0,2,0,0,2,0,0,2,0,0,3,15,2,3,0,0,2,0,0,3
1,17,13,4,5,4,1,1,3.96667E+14,0,0,2,0,0,2,30,1,2,37.5,2,3,50,1,3,35,1,2,45,1,3
2,17,7,10,5,3,2,2,1.63333E+14,0,0,2,0,0,2,30,1,2,24.5,2,3,45,1,3,35,1,2,27.5,2,3
1,17,11,6,5,4,1,2,40.5,0,0,2,0,0,2,25,2,2,35,1,3,35,1,3,30,1,2,35,1,3
1,17,8,9,4,3,1,2,2,0,0,2,0,0,2,30,1,2,0,0,3,40,1,3,3,2,2,40,1,3
0,17,13,4,5,5,0,1,3.41667E+14,0,0,2,0,0,2,35,1,2,35,1,3,45,1,3,34,1,2,35,1,3
2,17,9,8,5,3,2,2,3.13889E+14,0,0,2,0,0,2,19.5,2,2,30,1,3,35,1,3,21.5,2,2,45,1,3
2,17,11,6,5,3,2,2,3.73333E+14,0,0,2,0,0,2,30,2,2,30,1,3,45,1,3,27.5,2,2,45,1,3
2,17,0,17,2,0,2,2,0,0,0,2,0,0,2,0,0,2,0,0,3,20,2,3,0,0,2,25,2,3
0,17,13,4,5,5,0,1,4.41667E+14,0,0,2,0,0,2,30,1,2,40,1,3,40,1,3,35,1,2,45,1,3
3,17,5,12,5,2,3,2,0.166666667,0,0,2,0,0,2,1.666666667,3,2,2.333333333,3,3,22.5,2,3,30,1,2,40,1,3
0,17,13,4,5,5,0,1,3.62217E+14,0,0,2,0,0,2,35,1,2,35,1,3,45,1,3,30,1,2,45,1,3
3,17,13,4,5,2,3,2,4.03333E+14,0,0,2,0,0,2,32.5,2,2,32.5,2,3,45,1,3,32.5,2,2,35,1,3
